Batch_ID,Transaction_ID,Customer_ID,Account_Type,Total_Balance,Transaction_Amount,Updated_Balance,Investment_Amount,Investment_Type,Is_Anomaly,Transaction_Date,Year,Month,Day,Processed_At
BATCH_20251109_161848,300037,203773,Current,91948,1105.0,90843.0,5686,Fixed Deposit,0,2022-11-17,2022,11,17,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300038,204445,Savings,76305,2909.0,73396.0,17613,Mutual Fund,0,2023-02-18,2023,2,18,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300039,206769,Current,24438,1210.0,23228.0,48004,Mutual Fund,0,2023-08-25,2023,8,25,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300040,207873,Savings,23464,389.0,23075.0,1320,Mutual Fund,0,2022-08-26,2022,8,26,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300041,202102,Business,86047,1011.0,85036.0,19917,Recurring Deposit,0,2022-08-12,2022,8,12,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300042,203852,Savings,28306,1480.0,26826.0,46133,Mutual Fund,0,2023-11-01,2023,11,1,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300043,208987,Current,29241,1747.0,27494.0,47535,Fixed Deposit,0,2022-08-18,2022,8,18,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300044,202904,Current,6313,4136.0,2177.0,40430,Fixed Deposit,1,2023-09-29,2023,9,29,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300045,201453,Business,41400,3924.0,37476.0,29495,Recurring Deposit,0,2023-09-06,2023,9,6,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300046,209070,Current,74796,4109.0,70687.0,25768,Fixed Deposit,0,2024-10-13,2024,10,13,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300047,208578,Business,60021,1391.0,58630.0,16081,Mutual Fund,0,2023-05-05,2023,5,5,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300048,202434,Business,11536,3112.0,8424.0,7987,Mutual Fund,0,2022-05-27,2022,5,27,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300049,209372,Savings,20642,1722.0,18920.0,1808,Mutual Fund,0,2024-03-03,2024,3,3,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300050,204519,Current,27673,4779.0,22894.0,12849,Mutual Fund,0,2024-07-01,2024,7,1,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300051,200786,Savings,8325,4174.0,4151.0,19217,Recurring Deposit,1,2022-09-30,2022,9,30,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300052,206803,Business,2149,1862.0,287.0,5514,Mutual Fund,1,2023-10-30,2023,10,30,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300053,203219,Business,29377,4325.54931329541,25051.45068670459,47497,Fixed Deposit,0,2022-07-21,2022,7,21,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300054,207258,Business,57301,2227.0,55074.0,39792,Fixed Deposit,0,2024-07-25,2024,7,25,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300055,206699,Savings,25888,4279.0,21609.0,18200,Mutual Fund,0,2023-06-19,2023,6,19,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300056,201773,Savings,40811,1537.0,39274.0,23933,Recurring Deposit,0,2024-11-21,2024,11,21,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300057,202042,Business,79085,3989.0,75096.0,46476,Recurring Deposit,0,2024-11-05,2024,11,5,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300058,209816,Current,18004,2650.0,15354.0,36131,Mutual Fund,0,2023-10-03,2023,10,3,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300059,207169,Current,46996,2615.5528736962256,44380.44712630378,13299,Mutual Fund,0,2024-09-02,2024,9,2,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300060,207608,Current,17977,456.0,17521.0,36194,Mutual Fund,0,2023-01-13,2023,1,13,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300061,209440,Business,28472,260.0,28212.0,32011,Fixed Deposit,0,2025-03-19,2025,3,19,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300062,204242,Business,54691,3166.0,51525.0,12049,Fixed Deposit,0,2022-07-07,2022,7,7,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300063,201625,Current,81352,2022.0,79330.0,46919,Recurring Deposit,0,2022-05-31,2022,5,31,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300064,201471,Savings,34379,1620.0,32759.0,34662,Fixed Deposit,0,2025-01-11,2025,1,11,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300065,205549,Current,31314,3415.0,27899.0,16440,Recurring Deposit,0,2023-03-10,2023,3,10,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300066,201346,Savings,14144,663.0,13481.0,3974,Recurring Deposit,0,2023-06-13,2023,6,13,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300067,209306,Current,58970,3360.0,55610.0,12027,Recurring Deposit,0,2022-07-22,2022,7,22,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300068,200013,Business,60291,4091.0,56200.0,30557,Fixed Deposit,0,2023-03-17,2023,3,17,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300069,209363,Current,15668,109.0,15559.0,40973,Fixed Deposit,0,2022-08-24,2022,8,24,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300070,201826,Savings,11159,781.0,10378.0,3247,Recurring Deposit,0,2023-11-01,2023,11,1,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300071,208600,Savings,43386,771.1865553972792,42614.81344460272,16631,Recurring Deposit,0,2023-05-26,2023,5,26,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300072,205507,Current,93190,776.0,92414.0,1571,Mutual Fund,0,2024-02-23,2024,2,23,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300073,204152,Business,41654,292.0,41362.0,6727,Recurring Deposit,0,2024-12-02,2024,12,2,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300074,202561,Business,94115,3227.0,90888.0,16048,Recurring Deposit,0,2023-10-08,2023,10,8,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300075,201902,Savings,74259,587.0,73672.0,34913,Mutual Fund,0,2022-11-28,2022,11,28,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300076,208596,Business,77182,385.0,76797.0,37067,Recurring Deposit,0,2023-10-17,2023,10,17,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300077,207916,Current,14799,1367.0,13432.0,46381,Fixed Deposit,0,2023-09-23,2023,9,23,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300078,205720,Savings,13928,934.0,12994.0,24135,Fixed Deposit,0,2023-02-09,2023,2,9,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300079,200858,Savings,43133,901.856193185989,42231.14380681401,4345,Recurring Deposit,0,2025-01-25,2025,1,25,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300080,200208,Current,84847,1222.0,83625.0,22763,Mutual Fund,0,2023-05-09,2023,5,9,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300081,202190,Current,43308,3681.0,39627.0,23699,Mutual Fund,0,2025-03-15,2025,3,15,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300082,208109,Current,48383,3311.0,45072.0,11587,Fixed Deposit,0,2025-02-14,2025,2,14,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300083,207794,Business,86627,2256.0,84371.0,13962,Fixed Deposit,0,2024-12-21,2024,12,21,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300084,201822,Business,4360,2390.0,1970.0,8777,Mutual Fund,1,2022-07-09,2022,7,9,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300085,207741,Business,46631,1164.0,45467.0,29535,Recurring Deposit,0,2024-10-22,2024,10,22,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300086,200545,Current,74422,3891.0,70531.0,15881,Recurring Deposit,0,2024-12-01,2024,12,1,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300087,208995,Business,20259,2198.0,18061.0,3160,Recurring Deposit,0,2022-12-11,2022,12,11,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300088,201127,Business,2577,1476.0,1101.0,5260,Recurring Deposit,1,2024-06-27,2024,6,27,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300089,206476,Current,38065,2227.0,35838.0,10696,Mutual Fund,0,2023-04-05,2023,4,5,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300090,204092,Current,40483,446.0,40037.0,37239,Mutual Fund,0,2022-11-29,2022,11,29,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300091,200246,Current,37201,1858.0,35343.0,41677,Mutual Fund,0,2024-03-08,2024,3,8,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300092,208656,Savings,33653,1438.0,32215.0,11212,Recurring Deposit,0,2023-10-31,2023,10,31,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300093,206444,Current,98586,4795.0,93791.0,29859,Recurring Deposit,0,2023-05-14,2023,5,14,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300094,200619,Current,98266,2796.0,95470.0,32851,Fixed Deposit,0,2024-12-09,2024,12,9,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300095,201958,Business,56360,4167.0,52193.0,47288,Mutual Fund,0,2025-02-22,2025,2,22,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300096,206681,Savings,99202,553.0,98649.0,47078,Mutual Fund,0,2024-08-02,2024,8,2,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300097,209421,Business,83453,1409.0,82044.0,29438,Recurring Deposit,0,2023-02-25,2023,2,25,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300098,208548,Savings,80321,189.0,80132.0,37746,Recurring Deposit,0,2025-02-16,2025,2,16,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300099,202378,Current,8615,1419.0,7196.0,24154,Recurring Deposit,0,2023-08-06,2023,8,6,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300100,203351,Savings,69990,1245.40705019437,68744.59294980564,14369,Recurring Deposit,0,2022-06-15,2022,6,15,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300101,200884,Current,22527,2603.0,19924.0,7744,Mutual Fund,0,2023-03-11,2023,3,11,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300102,206585,Savings,78341,3102.0,75239.0,33839,Recurring Deposit,0,2022-05-09,2022,5,9,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300103,209950,Business,62479,1262.0,61217.0,23149,Fixed Deposit,0,2023-07-24,2023,7,24,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300104,209649,Savings,77880,2023.0,75857.0,11839,Recurring Deposit,0,2023-12-04,2023,12,4,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300105,206343,Savings,97150,1888.0,95262.0,32443,Fixed Deposit,0,2023-05-10,2023,5,10,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300106,200550,Current,37640,4869.0,32771.0,6378,Fixed Deposit,0,2022-07-01,2022,7,1,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300107,208391,Business,57068,544.0,56524.0,43856,Recurring Deposit,0,2023-02-11,2023,2,11,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300108,209582,Business,77018,2580.0,74438.0,13089,Recurring Deposit,0,2024-08-18,2024,8,18,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300109,203742,Current,16002,4240.0,11762.0,10238,Fixed Deposit,0,2023-07-22,2023,7,22,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300110,201443,Current,76069,3992.0,72077.0,37536,Recurring Deposit,0,2023-02-14,2023,2,14,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300111,204774,Business,2758,2094.0,664.0,11322,Fixed Deposit,1,2025-01-02,2025,1,2,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300112,208468,Savings,35712,2850.0,32862.0,2664,Fixed Deposit,0,2024-05-04,2024,5,4,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300113,200053,Business,88489,4528.0,83961.0,25322,Recurring Deposit,0,2023-11-25,2023,11,25,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300114,200163,Business,18939,1456.0,17483.0,42750,Fixed Deposit,0,2024-12-13,2024,12,13,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300115,206798,Business,62558,4163.0,58395.0,15336,Fixed Deposit,0,2024-03-02,2024,3,2,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300116,202789,Current,49938,4394.0,45544.0,44374,Fixed Deposit,0,2022-10-28,2022,10,28,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300117,204517,Current,68138,5131.409920894748,63006.590079105255,25219,Mutual Fund,0,2023-05-06,2023,5,6,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300118,209445,Savings,19937,610.0,19327.0,8151,Recurring Deposit,0,2022-10-23,2022,10,23,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300119,209521,Savings,9767,4323.0,5444.0,44076,Recurring Deposit,0,2023-04-08,2023,4,8,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300120,209177,Business,67405,1165.0,66240.0,1594,Mutual Fund,0,2024-08-09,2024,8,9,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300121,205359,Current,35093,2660.0,32433.0,6004,Fixed Deposit,0,2024-07-05,2024,7,5,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300122,205652,Business,23971,2731.0,21240.0,33733,Mutual Fund,0,2023-05-03,2023,5,3,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300123,201080,Current,52943,3698.0,49245.0,16128,Fixed Deposit,0,2024-09-14,2024,9,14,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300124,208850,Business,43169,2984.0,40185.0,28130,Recurring Deposit,0,2024-01-15,2024,1,15,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300125,205148,Savings,5247,2553.0,2694.0,35029,Recurring Deposit,0,2024-09-12,2024,9,12,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300126,202265,Business,72586,3575.0,69011.0,38148,Recurring Deposit,0,2023-12-01,2023,12,1,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300127,204641,Current,86526,605.0,85921.0,23902,Fixed Deposit,0,2023-10-04,2023,10,4,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300128,200848,Current,93679,3984.0,89695.0,36200,Mutual Fund,0,2023-02-24,2023,2,24,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300129,208657,Business,71869,3260.0,68609.0,44969,Mutual Fund,0,2022-10-21,2022,10,21,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300130,204661,Savings,86647,3763.0,82884.0,32727,Mutual Fund,0,2024-05-20,2024,5,20,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300131,207711,Business,91053,3774.0,87279.0,16137,Fixed Deposit,0,2024-04-25,2024,4,25,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300132,204599,Business,6606,674.0,5932.0,6690,Recurring Deposit,0,2022-08-09,2022,8,9,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300133,205661,Current,76708,4079.0,72629.0,14536,Recurring Deposit,0,2022-06-02,2022,6,2,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300134,209566,Current,16347,4411.0,11936.0,10417,Recurring Deposit,0,2022-09-07,2022,9,7,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300135,206111,Savings,21222,2637.0,18585.0,38073,Recurring Deposit,0,2022-11-13,2022,11,13,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300136,205515,Business,76070,3012.0,73058.0,16381,Mutual Fund,0,2024-11-19,2024,11,19,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300137,209998,Savings,43649,3982.0,39667.0,16028,Recurring Deposit,0,2022-11-24,2022,11,24,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300138,208610,Business,92016,1833.0,90183.0,33244,Recurring Deposit,0,2025-02-10,2025,2,10,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300139,201459,Savings,45434,4885.0,40549.0,41478,Recurring Deposit,0,2024-01-05,2024,1,5,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300140,204532,Business,76590,689.0,75901.0,38185,Recurring Deposit,0,2024-10-02,2024,10,2,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300141,206029,Savings,78592,4076.0,74516.0,15550,Fixed Deposit,0,2022-06-27,2022,6,27,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300142,206289,Business,17919,2965.0,14954.0,39146,Fixed Deposit,0,2023-11-08,2023,11,8,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300143,202213,Current,16398,3267.0,13131.0,4757,Mutual Fund,0,2023-11-03,2023,11,3,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300144,200597,Business,99990,2592.0,97398.0,28000,Recurring Deposit,0,2024-10-01,2024,10,1,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300145,209381,Business,21156,4226.0,16930.0,33599,Fixed Deposit,0,2024-03-17,2024,3,17,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300146,205528,Current,40524,4756.0,35768.0,26816,Mutual Fund,0,2024-06-19,2024,6,19,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300147,208637,Business,9929,782.0,9147.0,20624,Fixed Deposit,0,2023-04-15,2023,4,15,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300148,204749,Savings,18171,2448.0,15723.0,29221,Mutual Fund,0,2024-07-27,2024,7,27,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300149,200046,Business,18156,2359.0,15797.0,14701,Mutual Fund,0,2022-04-07,2022,4,7,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300150,209704,Savings,91347,1325.0,90022.0,14764,Recurring Deposit,0,2025-02-09,2025,2,9,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300151,207890,Current,48523,4841.0,43682.0,22937,Mutual Fund,0,2022-09-14,2022,9,14,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300152,201286,Savings,74082,1340.0,72742.0,23950,Recurring Deposit,0,2025-02-12,2025,2,12,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300153,202701,Current,82597,3989.0,78608.0,9143,Recurring Deposit,0,2024-07-02,2024,7,2,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300154,200942,Savings,99993,553.0,99440.0,1938,Recurring Deposit,0,2023-05-09,2023,5,9,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300155,202290,Current,8955,2783.0,6172.0,34108,Mutual Fund,0,2024-12-10,2024,12,10,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300156,200903,Business,64612,1268.0,63344.0,38242,Mutual Fund,0,2023-08-31,2023,8,31,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300157,205452,Savings,22972,4538.0,18434.0,11023,Mutual Fund,0,2022-09-10,2022,9,10,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300158,202659,Current,6267,803.0,5464.0,8556,Recurring Deposit,0,2023-06-19,2023,6,19,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300159,201131,Business,91885,2758.0,89127.0,30920,Mutual Fund,0,2024-01-25,2024,1,25,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300160,202368,Business,96916,731.0,96185.0,16938,Fixed Deposit,0,2022-11-21,2022,11,21,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300161,206948,Current,48385,2048.0,46337.0,46372,Recurring Deposit,0,2024-02-23,2024,2,23,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300162,203544,Current,25726,3434.0,22292.0,5608,Fixed Deposit,0,2022-03-26,2022,3,26,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300163,208658,Savings,63852,482.0,63370.0,17190,Mutual Fund,0,2023-05-04,2023,5,4,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300164,204057,Current,30592,580.758814260561,30011.24118573944,7473,Fixed Deposit,0,2024-05-06,2024,5,6,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300165,204850,Business,95211,2537.0,92674.0,45303,Fixed Deposit,0,2022-12-23,2022,12,23,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300166,204034,Current,60226,2119.0,58107.0,11219,Fixed Deposit,0,2024-05-17,2024,5,17,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300167,201135,Savings,62321,2830.0,59491.0,5123,Recurring Deposit,0,2022-09-02,2022,9,2,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300168,209670,Savings,53385,1054.0,52331.0,39746,Mutual Fund,0,2024-11-16,2024,11,16,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300169,204383,Savings,59970,1996.0,57974.0,39453,Recurring Deposit,0,2023-06-27,2023,6,27,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300170,205572,Savings,27041,3360.0,23681.0,7774,Mutual Fund,0,2024-12-07,2024,12,7,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300171,208532,Savings,70747,1269.0,69478.0,5490,Recurring Deposit,0,2024-05-17,2024,5,17,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300172,200659,Savings,6986,2289.0,4697.0,14012,Fixed Deposit,0,2024-10-22,2024,10,22,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300173,200185,Current,28635,2040.0,26595.0,9484,Fixed Deposit,0,2023-01-23,2023,1,23,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300174,202076,Savings,44194,3082.0,41112.0,32141,Recurring Deposit,0,2022-11-13,2022,11,13,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300175,201431,Current,88419,4101.0,84318.0,43232,Fixed Deposit,0,2023-10-22,2023,10,22,2025-11-09 16:18:48.216485
